
Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 11:57:59 2026
Timers Off: Sat Jul 18 11:57:59 2026

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:00:00 2026
Timers Off: Sat Jul 18 12:00:36 2026

Wall Time:       36.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Module                                       User      System        Wall        Calls
V: Grid                             :     77.267u      8.633s     32.118w   4016 calls
build grid                          :     48.200u      6.517s     13.042w   4016 calls
post-process grid                   :     28.767u      2.083s     18.890w   4016 calls
DFH: sparsity prep                  :     12.217u      0.767s      7.924w   4016 calls
Libint2ERI::Libint2ERI              :     31.567u     11.367s     25.939w 124028 calls
DFH: initialize()                   :    862.700u    183.083s    185.867w   4016 calls
DFH: AO Construction                :     62.550u      4.950s      5.462w   4016 calls
DFH: AO-Met. Contraction            :     58.917u      6.033s      4.563w   4016 calls
HF: Form core H                     :     21.133u    105.733s     59.711w   4016 calls
HF: Form S/X                        :      2.533u      4.133s      3.457w   4016 calls
HF: Guess                           :    156.700u    762.133s    322.250w   4016 calls
SAD Guess                           :    154.367u    756.133s    316.774w   4014 calls
HF: Form G                          :  75279.650u    630.517s   4544.673w  47827 calls
RV: Form V                          :  61935.167u    301.650s   3651.647w  47827 calls
Properties                          :  11584.613p                         31507237 calls
Functional                          :  10413.554p                         31507237 calls
V_xc                                :  12116.782p                         26604831 calls
JK: D                               :      0.550u      0.033s      0.305w  53124 calls
JK: USO2AO                          :      0.183u      0.183s      0.167w  53124 calls
JK: JK                              :  17620.500u    334.967s   1138.993w  53124 calls
DFH: compute_JK()                   :  17620.183u    334.850s   1138.818w  53124 calls
DFH: Grabbing AOs                   :      0.000u      0.117s      0.032w  53124 calls
DFH: compute_J                      :     97.200u     67.733s     15.516w  53124 calls
DFH: compute_K                      :  17517.617u    116.650s   1039.452w  53124 calls
JK: AO2USO                          :      0.033u      0.050s      0.037w  53124 calls
HF: Form F                          :      2.533u     19.783s      3.436w  47827 calls
HF: Form D                          :      0.483u      0.017s      0.191w  47827 calls
HF: DIIS                            :     99.283u    135.967s    110.091w  43813 calls
HF: Form C                          :     28.650u      4.700s     20.516w  43813 calls
Grad: V T Perturb                   :     26.233u     81.317s     36.217w   3516 calls
Grad: S                             :     14.800u     41.917s     17.867w   3516 calls
Grad: JK                            :   1590.550u    185.350s    244.508w   3516 calls
JKGrad: Amn                         :     84.783u     23.450s     24.570w   3516 calls
JKGrad: Awmn                        :      0.017u      0.000s      0.003w   3516 calls
JKGrad: AB                          :    604.667u    102.383s     83.774w   3516 calls
JKGrad: UV                          :    590.967u      7.533s     37.427w   3516 calls
JKGrad: ABx                         :     31.500u     17.633s     13.653w   3516 calls
JKGrad: Amnx                        :    278.250u     26.217s     38.061w   3516 calls
Grad: XC                            :   5547.050u     52.883s    349.950w   3516 calls
V_xc gradient                       :   1016.264p                         1955893 calls
RV: Form Vx                         :  24354.600u    109.533s   1435.110w   5297 calls
Derivative Properties               :   4230.577p                         8623152 calls
V_XCd                               :   4198.561p                         8623152 calls

--------------------------------------------------------------------------------------
V: Grid                             :     77.267u      8.633s     32.118w   4016 calls
| build grid                        :     48.200u      6.517s     13.042w   4016 calls
| post-process grid                 :     28.767u      2.083s     18.890w   4016 calls
DFH: sparsity prep                  :     12.217u      0.767s      7.924w   4016 calls
| Libint2ERI::Libint2ERI            :      7.200u      0.667s      4.841w   4016 calls
DFH: initialize()                   :    862.700u    183.083s    185.867w   4016 calls
| Libint2ERI::Libint2ERI            :      9.567u      4.667s      8.743w  60240 calls
| DFH: AO Construction              :     62.550u      4.950s      5.462w   4016 calls
| DFH: AO-Met. Contraction          :     58.917u      6.033s      4.563w   4016 calls
HF: Form core H                     :     21.133u    105.733s     59.711w   4016 calls
HF: Form S/X                        :      2.533u      4.133s      3.457w   4016 calls
HF: Guess                           :    156.700u    762.133s    322.250w   4016 calls
| SAD Guess                         :    154.367u    756.133s    316.774w   4014 calls
HF: Form G                          :  75279.650u    630.517s   4544.673w  47827 calls
| RV: Form V                        :  61935.167u    301.650s   3651.647w  47827 calls
| | Properties                      :   8945.296p                         26604831 calls
| | Functional                      :   8407.205p                         26604831 calls
| | V_xc                            :  12116.782p                         26604831 calls
| JK: D                             :      0.433u      0.033s      0.253w  47827 calls
| JK: USO2AO                        :      0.150u      0.033s      0.095w  47827 calls
| JK: JK                            :  13338.400u    267.083s    871.295w  47827 calls
| | DFH: compute_JK()               :  13338.100u    267.000s    871.145w  47827 calls
| | | DFH: Grabbing AOs             :      0.000u      0.100s      0.029w  47827 calls
| | | DFH: compute_J                :     61.133u     52.367s     11.032w  47827 calls
| | | DFH: compute_K                :  13272.483u     84.533s    787.861w  47827 calls
| JK: AO2USO                        :      0.033u      0.050s      0.033w  47827 calls
HF: Form F                          :      2.533u     19.783s      3.436w  47827 calls
HF: Form D                          :      0.483u      0.017s      0.191w  47827 calls
HF: DIIS                            :     99.283u    135.967s    110.091w  43813 calls
HF: Form C                          :     28.650u      4.700s     20.516w  43813 calls
Grad: V T Perturb                   :     26.233u     81.317s     36.217w   3516 calls
Grad: S                             :     14.800u     41.917s     17.867w   3516 calls
Grad: JK                            :   1590.550u    185.350s    244.508w   3516 calls
| JKGrad: Amn                       :     84.783u     23.450s     24.570w   3516 calls
| | Libint2ERI::Libint2ERI          :      6.050u      0.383s      3.823w   3516 calls
| JKGrad: Awmn                      :      0.017u      0.000s      0.003w   3516 calls
| JKGrad: AB                        :    604.667u    102.383s     83.774w   3516 calls
| | Libint2ERI::Libint2ERI          :      2.667u      4.483s      4.073w  49224 calls
| JKGrad: UV                        :    590.967u      7.533s     37.427w   3516 calls
| JKGrad: ABx                       :     31.500u     17.633s     13.653w   3516 calls
| | Libint2ERI::Libint2ERI          :      0.167u      0.717s      0.575w   3516 calls
| JKGrad: Amnx                      :    278.250u     26.217s     38.061w   3516 calls
| | Libint2ERI::Libint2ERI          :      5.917u      0.450s      3.883w   3516 calls
Grad: XC                            :   5547.050u     52.883s    349.950w   3516 calls
| Properties                        :   1051.233p                         1955893 calls
| Functional                        :    694.918p                         1955893 calls
| V_xc gradient                     :   1016.264p                         1955893 calls
JK: D                               :      0.117u      0.000s      0.052w   5297 calls
JK: USO2AO                          :      0.033u      0.150s      0.071w   5297 calls
JK: JK                              :   4282.100u     67.883s    267.698w   5297 calls
| DFH: compute_JK()                 :   4282.083u     67.850s    267.673w   5297 calls
| | DFH: Grabbing AOs               :      0.000u      0.017s      0.003w   5297 calls
| | DFH: compute_J                  :     36.067u     15.367s      4.484w   5297 calls
| | DFH: compute_K                  :   4245.133u     32.117s    251.591w   5297 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w   5297 calls
RV: Form Vx                         :  24354.600u    109.533s   1435.110w   5297 calls
| Properties                        :   1588.084p                         2946513 calls
| Functional                        :   1311.431p                         2946513 calls
| Derivative Properties             :   4230.577p                         8623152 calls
| V_XCd                             :   4198.561p                         8623152 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 17:28:47 2026
Timers Off: Sun Jul 19 03:34:10 2026

Wall Time:    36323.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    347.317u     34.467s     94.441w   4046 calls
build grid                          :    257.600u     23.917s     33.581w   4046 calls
post-process grid                   :     89.267u     10.483s     60.572w   4046 calls
DFH: sparsity prep                  :     40.483u      1.800s     25.722w   4046 calls
Libint2ERI::Libint2ERI              :    102.733u     15.233s     71.154w 125018 calls
DFH: initialize()                   :  10283.250u    806.750s   1006.797w   4046 calls
DFH: AO Construction                :    475.150u     40.400s     37.614w   4046 calls
DFH: AO-Met. Contraction            :    834.050u     39.133s     60.725w   4046 calls
HF: Form core H                     :     56.683u     86.267s     63.741w   4046 calls
HF: Form S/X                        :     37.983u    113.250s     27.551w   4046 calls
HF: Guess                           :    209.050u    819.033s    374.162w   4046 calls
SAD Guess                           :    205.950u    813.133s    368.904w   4038 calls
HF: Form G                          : 388357.783u   2256.467s  23033.858w  60689 calls
RV: Form V                          : 349765.733u   1687.150s  20583.114w  60689 calls
Properties                          :  66237.718p                         84913355 calls
Functional                          :  50883.592p                         84913355 calls
V_xc                                :  78050.232p                         72784639 calls
JK: D                               :      3.283u      1.617s      2.138w  67256 calls
JK: USO2AO                          :      0.183u      0.583s      0.579w  67256 calls
JK: JK                              :  51644.950u    577.217s   3225.244w  67256 calls
DFH: compute_JK()                   :  51644.267u    577.117s   3224.823w  67256 calls
DFH: Grabbing AOs                   :      0.017u      0.233s      0.048w  67256 calls
DFH: compute_J                      :    910.667u    100.667s     73.985w  67256 calls
DFH: compute_K                      :  50706.650u    266.783s   3023.111w  67256 calls
JK: AO2USO                          :      0.017u      0.033s      0.055w  67256 calls
HF: Form F                          :      6.350u     44.150s      6.853w  60689 calls
HF: Form D                          :      2.300u      0.017s      1.438w  60689 calls
HF: DIIS                            :    342.883u    757.400s    291.933w  56651 calls
HF: Form C                          :    481.233u   1627.833s    380.357w  56651 calls
Grad: V T Perturb                   :     88.850u     87.667s     50.032w   3546 calls
Grad: S                             :     47.183u     46.300s     24.332w   3546 calls
Grad: JK                            :  12449.700u    775.967s   1173.969w   3546 calls
JKGrad: Amn                         :    641.567u     85.433s    105.505w   3546 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.003w   3546 calls
JKGrad: AB                          :   8568.600u    576.517s    749.569w   3546 calls
JKGrad: UV                          :   1030.267u     16.033s     68.782w   3546 calls
JKGrad: ABx                         :    107.350u     21.467s     21.047w   3546 calls
JKGrad: Amnx                        :   2101.367u     66.650s    180.318w   3546 calls
Grad: XC                            :  23407.117u    172.200s   1423.615w   3546 calls
V_xc gradient                       :   4795.655p                         4252673 calls
RV: Form Vx                         : 108172.967u    499.083s   6373.238w   6567 calls
Derivative Properties               :  21195.265p                         23587281 calls
V_XCd                               :  20169.050p                         23587281 calls

--------------------------------------------------------------------------------------
V: Grid                             :    347.317u     34.467s     94.441w   4046 calls
| build grid                        :    257.600u     23.917s     33.581w   4046 calls
| post-process grid                 :     89.267u     10.483s     60.572w   4046 calls
DFH: sparsity prep                  :     40.483u      1.800s     25.722w   4046 calls
| Libint2ERI::Libint2ERI            :     25.867u      1.650s     16.993w   4046 calls
DFH: initialize()                   :  10283.250u    806.750s   1006.797w   4046 calls
| Libint2ERI::Libint2ERI            :     29.133u      6.517s     21.289w  60690 calls
| DFH: AO Construction              :    475.150u     40.400s     37.614w   4046 calls
| DFH: AO-Met. Contraction          :    834.050u     39.133s     60.725w   4046 calls
HF: Form core H                     :     56.683u     86.267s     63.741w   4046 calls
HF: Form S/X                        :     37.983u    113.250s     27.551w   4046 calls
HF: Guess                           :    209.050u    819.033s    374.162w   4046 calls
| SAD Guess                         :    205.950u    813.133s    368.904w   4038 calls
HF: Form G                          : 388357.783u   2256.467s  23033.858w  60689 calls
| RV: Form V                        : 349765.733u   1687.150s  20583.114w  60689 calls
| | Properties                      :  53984.422p                         72784639 calls
| | Functional                      :  43149.211p                         72784639 calls
| | V_xc                            :  78050.232p                         72784639 calls
| JK: D                             :      2.583u      1.600s      1.683w  60689 calls
| JK: USO2AO                        :      0.117u      0.383s      0.424w  60689 calls
| JK: JK                            :  38574.700u    450.033s   2416.229w  60689 calls
| | DFH: compute_JK()               :  38574.200u    449.933s   2415.889w  60689 calls
| | | DFH: Grabbing AOs             :      0.017u      0.200s      0.042w  60689 calls
| | | DFH: compute_J                :    681.767u     80.667s     55.654w  60689 calls
| | | DFH: compute_K                :  37868.967u    195.167s   2254.529w  60689 calls
| JK: AO2USO                        :      0.000u      0.033s      0.050w  60689 calls
HF: Form F                          :      6.350u     44.150s      6.853w  60689 calls
HF: Form D                          :      2.300u      0.017s      1.438w  60689 calls
HF: DIIS                            :    342.883u    757.400s    291.933w  56651 calls
HF: Form C                          :    481.233u   1627.833s    380.357w  56651 calls
Grad: V T Perturb                   :     88.850u     87.667s     50.032w   3546 calls
Grad: S                             :     47.183u     46.300s     24.332w   3546 calls
Grad: JK                            :  12449.700u    775.967s   1173.969w   3546 calls
| JKGrad: Amn                       :    641.567u     85.433s    105.505w   3546 calls
| | Libint2ERI::Libint2ERI          :     22.783u      0.283s     13.711w   3546 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.003w   3546 calls
| JKGrad: AB                        :   8568.600u    576.517s    749.569w   3546 calls
| | Libint2ERI::Libint2ERI          :      3.350u      5.067s      4.713w  49644 calls
| JKGrad: UV                        :   1030.267u     16.033s     68.782w   3546 calls
| JKGrad: ABx                       :    107.350u     21.467s     21.047w   3546 calls
| | Libint2ERI::Libint2ERI          :      0.367u      0.917s      0.782w   3546 calls
| JKGrad: Amnx                      :   2101.367u     66.650s    180.318w   3546 calls
| | Libint2ERI::Libint2ERI          :     21.233u      0.800s     13.664w   3546 calls
Grad: XC                            :  23407.117u    172.200s   1423.615w   3546 calls
| Properties                        :   4801.092p                         4252673 calls
| Functional                        :   2665.624p                         4252673 calls
| V_xc gradient                     :   4795.655p                         4252673 calls
JK: D                               :      0.700u      0.017s      0.455w   6567 calls
JK: USO2AO                          :      0.067u      0.200s      0.154w   6567 calls
JK: JK                              :  13070.250u    127.183s    809.015w   6567 calls
| DFH: compute_JK()                 :  13070.067u    127.183s    808.933w   6567 calls
| | DFH: Grabbing AOs               :      0.000u      0.033s      0.005w   6567 calls
| | DFH: compute_J                  :    228.900u     20.000s     18.332w   6567 calls
| | DFH: compute_K                  :  12837.683u     71.617s    768.582w   6567 calls
JK: AO2USO                          :      0.017u      0.000s      0.005w   6567 calls
RV: Form Vx                         : 108172.967u    499.083s   6373.238w   6567 calls
| Properties                        :   7452.204p                         7876043 calls
| Functional                        :   5068.757p                         7876043 calls
| Derivative Properties             :  21195.265p                         23587281 calls
| V_XCd                             :  20169.050p                         23587281 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sun Jul 19 03:34:20 2026
Timers Off: Sun Jul 19 06:04:03 2026

Wall Time:     8982.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    120.133u     14.833s     43.853w   4024 calls
build grid                          :     79.283u     11.200s     17.174w   4024 calls
post-process grid                   :     40.467u      3.617s     26.508w   4024 calls
DFH: sparsity prep                  :      6.067u      0.817s      4.125w   4024 calls
Libint2ERI::Libint2ERI              :     15.033u     11.100s     15.798w 124292 calls
DFH: initialize()                   :     68.617u     99.217s    101.978w   4024 calls
DFH: AO Construction                :     18.933u      3.900s      2.125w   4024 calls
DFH: AO-Met. Contraction            :     11.883u      3.533s      1.290w   4024 calls
HF: Form core H                     :     16.500u    118.733s     66.644w   4024 calls
HF: Form S/X                        :      1.317u      1.950s      1.050w   4024 calls
HF: Guess                           :    119.983u    549.433s    234.160w   4024 calls
SAD Guess                           :    117.167u    545.400s    229.700w   4020 calls
HF: Form G                          :  85169.367u    539.467s   5043.507w  40510 calls
RV: Form V                          :  85105.967u    404.217s   5009.002w  40510 calls
Properties                          :  16112.322p                         34326658 calls
Functional                          :  15287.121p                         34326658 calls
V_xc                                :  14487.517p                         28648098 calls
JK: D                               :      0.250u      0.100s      0.185w  45016 calls
JK: USO2AO                          :      0.167u      0.050s      0.087w  45016 calls
JK: JK                              :     85.217u    136.733s     38.151w  45016 calls
DFH: compute_JK()                   :     85.083u    136.700s     37.994w  45016 calls
DFH: Grabbing AOs                   :      0.017u      0.083s      0.030w  45016 calls
DFH: compute_J                      :     29.133u     58.067s      9.840w  45016 calls
DFH: compute_K                      :     52.683u     41.117s     11.808w  45016 calls
JK: AO2USO                          :      0.050u      0.033s      0.029w  45016 calls
HF: Form F                          :      2.133u     14.683s      2.452w  40510 calls
HF: Form D                          :      0.167u      0.050s      0.106w  40510 calls
HF: DIIS                            :     74.483u     64.883s     64.361w  36490 calls
HF: Form C                          :     15.050u      0.083s      8.842w  36490 calls
Grad: V T Perturb                   :     22.017u     94.650s     43.080w   3524 calls
Grad: S                             :     10.567u     50.983s     22.363w   3524 calls
Grad: JK                            :    154.183u     98.667s    114.041w   3524 calls
JKGrad: Amn                         :     32.333u     17.067s     16.021w   3524 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.003w   3524 calls
JKGrad: AB                          :     21.300u     36.533s     22.739w   3524 calls
JKGrad: UV                          :      0.200u      0.917s      0.761w   3524 calls
JKGrad: ABx                         :     15.067u     16.367s     12.123w   3524 calls
JKGrad: Amnx                        :     84.767u     19.917s     20.475w   3524 calls
Grad: XC                            :   7562.183u     54.150s    459.049w   3524 calls
V_xc gradient                       :   1287.183p                         2492040 calls
RV: Form Vx                         :  37434.450u    171.033s   2200.678w   4506 calls
Derivative Properties               :   6283.607p                         9543982 calls
V_XCd                               :   6260.838p                         9543982 calls

--------------------------------------------------------------------------------------
V: Grid                             :    120.133u     14.833s     43.853w   4024 calls
| build grid                        :     79.283u     11.200s     17.174w   4024 calls
| post-process grid                 :     40.467u      3.617s     26.508w   4024 calls
DFH: sparsity prep                  :      6.067u      0.817s      4.125w   4024 calls
| Libint2ERI::Libint2ERI            :      3.033u      0.767s      2.259w   4024 calls
DFH: initialize()                   :     68.617u     99.217s    101.978w   4024 calls
| Libint2ERI::Libint2ERI            :      5.383u      4.933s      5.878w  60360 calls
| DFH: AO Construction              :     18.933u      3.900s      2.125w   4024 calls
| DFH: AO-Met. Contraction          :     11.883u      3.533s      1.290w   4024 calls
HF: Form core H                     :     16.500u    118.733s     66.644w   4024 calls
HF: Form S/X                        :      1.317u      1.950s      1.050w   4024 calls
HF: Guess                           :    119.983u    549.433s    234.160w   4024 calls
| SAD Guess                         :    117.167u    545.400s    229.700w   4020 calls
HF: Form G                          :  85169.367u    539.467s   5043.507w  40510 calls
| RV: Form V                        :  85105.967u    404.217s   5009.002w  40510 calls
| | Properties                      :  12433.632p                         28648098 calls
| | Functional                      :  12230.327p                         28648098 calls
| | V_xc                            :  14487.517p                         28648098 calls
| JK: D                             :      0.183u      0.100s      0.159w  40510 calls
| JK: USO2AO                        :      0.100u      0.033s      0.074w  40510 calls
| JK: JK                            :     58.400u    103.917s     28.996w  40510 calls
| | DFH: compute_JK()               :     58.283u    103.883s     28.863w  40510 calls
| | | DFH: Grabbing AOs             :      0.017u      0.067s      0.027w  40510 calls
| | | DFH: compute_J                :     18.967u     43.983s      7.269w  40510 calls
| | | DFH: compute_K                :     36.367u     28.367s      8.279w  40510 calls
| JK: AO2USO                        :      0.050u      0.033s      0.026w  40510 calls
HF: Form F                          :      2.133u     14.683s      2.452w  40510 calls
HF: Form D                          :      0.167u      0.050s      0.106w  40510 calls
HF: DIIS                            :     74.483u     64.883s     64.361w  36490 calls
HF: Form C                          :     15.050u      0.083s      8.842w  36490 calls
Grad: V T Perturb                   :     22.017u     94.650s     43.080w   3524 calls
Grad: S                             :     10.567u     50.983s     22.363w   3524 calls
Grad: JK                            :    154.183u     98.667s    114.041w   3524 calls
| JKGrad: Amn                       :     32.333u     17.067s     16.021w   3524 calls
| | Libint2ERI::Libint2ERI          :      2.167u      0.133s      1.591w   3524 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.003w   3524 calls
| JKGrad: AB                        :     21.300u     36.533s     22.739w   3524 calls
| | Libint2ERI::Libint2ERI          :      2.083u      4.483s      3.988w  49336 calls
| JKGrad: UV                        :      0.200u      0.917s      0.761w   3524 calls
| JKGrad: ABx                       :     15.067u     16.367s     12.123w   3524 calls
| | Libint2ERI::Libint2ERI          :      0.150u      0.433s      0.378w   3524 calls
| JKGrad: Amnx                      :     84.767u     19.917s     20.475w   3524 calls
| | Libint2ERI::Libint2ERI          :      2.217u      0.350s      1.704w   3524 calls
Grad: XC                            :   7562.183u     54.150s    459.049w   3524 calls
| Properties                        :   1372.020p                         2492040 calls
| Functional                        :    985.618p                         2492040 calls
| V_xc gradient                     :   1287.183p                         2492040 calls
JK: D                               :      0.067u      0.000s      0.026w   4506 calls
JK: USO2AO                          :      0.067u      0.017s      0.013w   4506 calls
JK: JK                              :     26.817u     32.817s      9.155w   4506 calls
| DFH: compute_JK()                 :     26.800u     32.817s      9.131w   4506 calls
| | DFH: Grabbing AOs               :      0.000u      0.017s      0.003w   4506 calls
| | DFH: compute_J                  :     10.167u     14.083s      2.571w   4506 calls
| | DFH: compute_K                  :     16.317u     12.750s      3.529w   4506 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   4506 calls
RV: Form Vx                         :  37434.450u    171.033s   2200.678w   4506 calls
| Properties                        :   2306.671p                         3186520 calls
| Functional                        :   2071.176p                         3186520 calls
| Derivative Properties             :   6283.607p                         9543982 calls
| V_XCd                             :   6260.838p                         9543982 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sun Jul 19 06:04:12 2026
Timers Off: Sun Jul 19 07:42:29 2026

Wall Time:     5896.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     40.783u      5.267s     20.280w   4009 calls
build grid                          :     23.450u      3.500s      8.597w   4009 calls
post-process grid                   :     17.133u      1.733s     11.543w   4009 calls
DFH: sparsity prep                  :      4.067u      1.017s      3.099w   4009 calls
Libint2ERI::Libint2ERI              :     10.967u     10.667s     12.812w 123797 calls
DFH: initialize()                   :     34.883u     80.983s     91.600w   4009 calls
DFH: AO Construction                :      7.383u      3.367s      1.085w   4009 calls
DFH: AO-Met. Contraction            :      3.483u      2.833s      0.646w   4009 calls
HF: Form core H                     :     13.033u    114.267s     62.060w   4009 calls
HF: Form S/X                        :      0.483u      1.367s      0.626w   4009 calls
HF: Guess                           :    119.017u    555.450s    229.582w   4009 calls
SAD Guess                           :    116.267u    551.050s    225.539w   4008 calls
HF: Form G                          :  71296.150u    449.500s   4201.493w  39868 calls
RV: Form V                          :  71269.833u    339.383s   4179.613w  39868 calls
Properties                          :  11584.902p                         18165826 calls
Functional                          :  11585.976p                         18165826 calls
V_xc                                :  10654.973p                         15286698 calls
JK: D                               :      0.233u      0.083s      0.121w  43868 calls
JK: USO2AO                          :      0.067u      0.000s      0.069w  43868 calls
JK: JK                              :     29.950u    103.250s     21.614w  43868 calls
DFH: compute_JK()                   :     29.817u    103.183s     21.498w  43868 calls
DFH: Grabbing AOs                   :      0.033u      0.117s      0.027w  43868 calls
DFH: compute_J                      :     12.033u     55.783s      8.513w  43868 calls
DFH: compute_K                      :     15.233u     24.250s      6.036w  43868 calls
JK: AO2USO                          :      0.017u      0.050s      0.025w  43868 calls
HF: Form F                          :      1.600u     14.667s      2.333w  39868 calls
HF: Form D                          :      0.117u      0.033s      0.076w  39868 calls
HF: DIIS                            :     68.300u     65.883s     58.869w  35860 calls
HF: Form C                          :      9.233u      0.083s      5.239w  35860 calls
Grad: V T Perturb                   :     12.483u     94.767s     41.585w   3509 calls
Grad: S                             :      6.417u     48.217s     20.749w   3509 calls
Grad: JK                            :     75.033u     79.483s     95.391w   3509 calls
JKGrad: Amn                         :     15.700u     15.317s     12.809w   3509 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.003w   3509 calls
JKGrad: AB                          :     12.183u     22.683s     16.935w   3509 calls
JKGrad: UV                          :      0.117u      0.700s      0.490w   3509 calls
JKGrad: ABx                         :     10.733u     16.733s     11.655w   3509 calls
JKGrad: Amnx                        :     35.800u     17.183s     15.325w   3509 calls
Grad: XC                            :   3504.550u     26.550s    214.506w   3509 calls
V_xc gradient                       :    563.919p                         1345480 calls
RV: Form Vx                         :   8176.800u     41.983s    482.424w   4000 calls
Derivative Properties               :   1326.488p                         4217532 calls
V_XCd                               :   1308.630p                         4217532 calls

--------------------------------------------------------------------------------------
V: Grid                             :     40.783u      5.267s     20.280w   4009 calls
| build grid                        :     23.450u      3.500s      8.597w   4009 calls
| post-process grid                 :     17.133u      1.733s     11.543w   4009 calls
DFH: sparsity prep                  :      4.067u      1.017s      3.099w   4009 calls
| Libint2ERI::Libint2ERI            :      1.883u      1.017s      1.535w   4009 calls
DFH: initialize()                   :     34.883u     80.983s     91.600w   4009 calls
| Libint2ERI::Libint2ERI            :      3.850u      4.300s      5.068w  60135 calls
| DFH: AO Construction              :      7.383u      3.367s      1.085w   4009 calls
| DFH: AO-Met. Contraction          :      3.483u      2.833s      0.646w   4009 calls
HF: Form core H                     :     13.033u    114.267s     62.060w   4009 calls
HF: Form S/X                        :      0.483u      1.367s      0.626w   4009 calls
HF: Guess                           :    119.017u    555.450s    229.582w   4009 calls
| SAD Guess                         :    116.267u    551.050s    225.539w   4008 calls
HF: Form G                          :  71296.150u    449.500s   4201.493w  39868 calls
| RV: Form V                        :  71269.833u    339.383s   4179.613w  39868 calls
| | Properties                      :  10442.977p                         15286698 calls
| | Functional                      :  10591.362p                         15286698 calls
| | V_xc                            :  10654.973p                         15286698 calls
| JK: D                             :      0.183u      0.050s      0.106w  39868 calls
| JK: USO2AO                        :      0.067u      0.000s      0.059w  39868 calls
| JK: JK                            :     22.233u     80.533s     16.796w  39868 calls
| | DFH: compute_JK()               :     22.100u     80.467s     16.692w  39868 calls
| | | DFH: Grabbing AOs             :      0.017u      0.100s      0.025w  39868 calls
| | | DFH: compute_J                :      8.967u     44.067s      6.688w  39868 calls
| | | DFH: compute_K                :     10.750u     16.250s      4.339w  39868 calls
| JK: AO2USO                        :      0.017u      0.050s      0.023w  39868 calls
HF: Form F                          :      1.600u     14.667s      2.333w  39868 calls
HF: Form D                          :      0.117u      0.033s      0.076w  39868 calls
HF: DIIS                            :     68.300u     65.883s     58.869w  35860 calls
HF: Form C                          :      9.233u      0.083s      5.239w  35860 calls
Grad: V T Perturb                   :     12.483u     94.767s     41.585w   3509 calls
Grad: S                             :      6.417u     48.217s     20.749w   3509 calls
Grad: JK                            :     75.033u     79.483s     95.391w   3509 calls
| JKGrad: Amn                       :     15.700u     15.317s     12.809w   3509 calls
| | Libint2ERI::Libint2ERI          :      1.600u      0.183s      1.010w   3509 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.003w   3509 calls
| JKGrad: AB                        :     12.183u     22.683s     16.935w   3509 calls
| | Libint2ERI::Libint2ERI          :      2.250u      4.267s      3.784w  49126 calls
| JKGrad: UV                        :      0.117u      0.700s      0.490w   3509 calls
| JKGrad: ABx                       :     10.733u     16.733s     11.655w   3509 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.433s      0.290w   3509 calls
| JKGrad: Amnx                      :     35.800u     17.183s     15.325w   3509 calls
| | Libint2ERI::Libint2ERI          :      1.283u      0.467s      1.125w   3509 calls
Grad: XC                            :   3504.550u     26.550s    214.506w   3509 calls
| Properties                        :    592.336p                         1345480 calls
| Functional                        :    479.738p                         1345480 calls
| V_xc gradient                     :    563.919p                         1345480 calls
JK: D                               :      0.050u      0.033s      0.015w   4000 calls
JK: USO2AO                          :      0.000u      0.000s      0.010w   4000 calls
JK: JK                              :      7.717u     22.717s      4.818w   4000 calls
| DFH: compute_JK()                 :      7.717u     22.717s      4.806w   4000 calls
| | DFH: Grabbing AOs               :      0.017u      0.017s      0.002w   4000 calls
| | DFH: compute_J                  :      3.067u     11.717s      1.825w   4000 calls
| | DFH: compute_K                  :      4.483u      8.000s      1.697w   4000 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w   4000 calls
RV: Form Vx                         :   8176.800u     41.983s    482.424w   4000 calls
| Properties                        :    549.589p                         1533648 calls
| Functional                        :    514.876p                         1533648 calls
| Derivative Properties             :   1326.488p                         4217532 calls
| V_XCd                             :   1308.630p                         4217532 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sun Jul 19 07:42:38 2026
Timers Off: Sun Jul 19 12:03:22 2026

